GEOID,State,ED Cost,PO Cost,PMPM,EDs,HOs,POs,WhitePop,BlackPop,OtherPop,HealthyPop,ChronicPop,ComplexPop,Unemployment,Income,Poverty,Education,Urbanicity,TotalChild,TotalAdult,Accessibility,Availability,RankingsPCP,RankingsFood,RankingsHousing,RankingsExercise,RankingsSocial,ProvDensity
22101040300,LA,408043.5191,98417.68113,6946.205486,7866.230399,144.811829,1818.548409,50.59028079,38.93842534,10.47129387,44.71642159,18.95976361,36.3238148,13.6,31875,25.1,5.7,Suburban,811,2613,0.750055,0.330452737,50.28213867,7,16,65,8.9,0.688
22069000300,LA,227552.3444,74498.0455,5555.356324,3380.374984,163.0058832,1396.636742,42.37547163,49.57250448,8.052023884,47.00460378,17.11266379,35.88273243,5.5,46739,20.1,19.9,Suburban,1163,3472,20.81260786,0.775825451,50.71508267,6,21,49,15,0.7985
22081960300,LA,603816.731,105452.0252,9905.812888,7101.72447,388.7004981,2044.836862,38.57474826,54.14407436,7.281177382,46.13970588,17.1875,36.67279412,11.2,30270,23.5,12.4,Rural,1199,3020,1.251496,0.4312,22.26427697,7,15,3,10,0.5964
22081960100,LA,136974.4313,22578.72072,2343.992606,1541.423906,87.6170307,441.975776,46.46291419,46.52820983,7.00887598,49.68658307,17.939895,32.37352194,7.4,40605,13.9,13.4,Urban,1165,3714,11.0323339,0.581593302,22.26427697,7,15,3,10,0.4523
22069000200,LA,310932.9796,72260.01027,5820.772775,3824.224594,190.1186578,1425.096145,46.29161565,46.41741787,7.290966477,45.88570889,16.55395279,37.56033832,14.3,29934,25.6,9.2,Suburban,967,2341,25,1,50.71508267,6,21,49,15,0.7132
22031950300,LA,211416.7167,24634.27025,3592.45243,3444.421565,113.2424528,490.4340293,27.7914484,65.02821578,7.180335815,44.55007695,14.70538843,40.74453462,8.4,39592,14.3,17.6,Urban,536,1957,20.55660523,0.893317714,22.25271669,7,13,42,15.9,1.1667
22031950100,LA,346658.8978,69274.12849,7233.76177,7255.648669,167.4197611,1379.59276,59.71053796,31.91147509,8.377986948,47.52296232,16.6949487,35.78208898,9.2,50298,9.2,15.2,Urban,1953,6601,17.63925412,0.600762229,22.25271669,7,13,42,15.9,1.379
22017024800,LA,73433.36757,6475.644455,1615.147495,1304.677568,81.00865569,141.0240258,18.41355395,71.97781958,9.608626476,52.58496382,17.10026555,30.31477063,8.2,28500,14.9,15.2,Urban,215,656,22.05931259,0.868892386,102.2976121,6,17,65,12.7,1.3768
22017025100,LA,98566.46944,9123.829909,2631.230699,1304.486385,112.752696,163.7262755,56.98335258,35.29494876,7.721698652,51.97482503,14.8930901,33.13208487,8.6,21989,18.9,8.3,Urban,329,1645,24.45008998,0.974602694,102.2976121,6,17,65,12.7,0.4644
22017024900,LA,266708.4902,23296.33876,5832.652636,3443.909297,340.0172036,490.3479958,50.77425626,42.94965145,6.276092296,47.26715009,18.33559517,34.39725474,10.4,42054,8.5,12.4,Urban,582,2466,17.28969503,0.768552232,102.2976121,6,17,65,12.7,1.2544
22017024107,LA,270112.9918,47509.3704,5959.437186,6081.598301,159.2760689,934.2889178,30.80128011,60.37769531,8.821024574,50.62605535,16.36106435,33.0128803,7.2,51920,7,9.1,Urban,1475,4130,11.1841971,0.356259027,102.2976121,6,17,65,12.7,1.3083
22017024106,LA,284162.0586,61015.1768,7263.710282,6204.836641,197.2610644,1231.940606,42.73528154,46.82778685,10.43693161,49.27190732,18.03447166,32.69362102,7.2,36575,15.5,20.5,Urban,1929,5551,2.596346248,0.164804205,102.2976121,6,17,65,12.7,1.3203
22017023300,LA,184215.5676,26683.12312,3756.542807,4024.110815,98.23187723,509.130493,16.63646572,75.76424895,7.599285335,49.09201065,15.9687907,34.93919865,17.1,18098,39.3,3.1,Urban,428,1312,1.84191763,0.30815697,102.2976121,6,17,65,12.7,1.2911
22017022400,LA,337168.869,50182.0454,6694.948475,7713.863144,179.0918615,955.9966079,9.216843092,84.62370895,6.159447956,52.13988968,13.77750148,34.08260885,13.2,23975,31.6,4.2,Urban,1514,2354,2.198884,0.15,102.2976121,6,17,65,12.7,1.2955
22017024104,LA,453189.0776,76759.42326,10094.15993,9866.88132,255.784424,1506.500771,29.04555945,61.61448952,9.33995103,48.52570782,17.71311447,33.76117771,7.7,39706,21.3,8.8,Urban,2063,4878,5.80522113,0.15,102.2976121,6,17,65,12.7,1.2997
22017021700,LA,191310.1661,18733.02151,4227.7996,4004.476954,119.3006133,385.0902472,11.46822423,80.57987445,7.951901322,40.66779838,18.52961747,40.80258415,12.7,22609,18.1,4.5,Urban,353,1211,0.444443,0.15,102.2976121,6,17,65,12.7,1.2912
22017022500,LA,440708.4417,66025.38199,8686.615366,10124.16877,228.917746,1264.926911,10.12549914,83.85624643,6.018254421,52.97012302,13.46221441,33.56766257,4.4,23321,32.7,4.2,Urban,1738,3151,2.604682123,0.15,102.2976121,6,17,65,12.7,1.2904
22017023400,LA,589454.8626,88672.39488,11657.68897,13503.25631,310.6354196,1695.907849,13.27706795,80.75270479,5.970227267,50.15343873,12.51291062,37.33365065,10.1,34250,19.5,9.9,Urban,1843,4437,3.713801633,0.15,102.2976121,6,17,65,12.7,1.2986
22017023700,LA,402395.3689,56879.21791,8398.612339,8470.872114,218.4850732,1082.00084,19.6413057,72.02975618,8.328938121,47.30224457,17.12558678,35.57216865,19.9,24078,33.5,7,Urban,2168,5017,1.039910845,0.314788086,102.2976121,6,17,65,12.7,1.292
22073010101,LA,155452.0879,34110.80483,4442.282328,3694.011831,133.7831975,741.2293491,30.89837249,64.17338788,4.928239629,51.16974849,14.85816099,33.97209052,3.6,52330,10.1,21.3,Urban,1132,3359,9.461963214,0.728744067,77.23846733,6,16,54,14.4,1.3922
22073010202,LA,198623.2919,43181.16225,5981.636651,4799.570681,172.9855481,928.467383,33.53112095,61.42102129,5.047857759,51.51491502,15.37601151,33.10907347,4,71818,2.8,40.3,Urban,1309,4318,7.561943966,0.340213761,77.23846733,6,16,54,14.4,1.3767
22067950700,LA,261605.0675,59912.13218,5050.089561,5139.611502,135.939212,1328.144403,36.7621727,59.23078415,4.00704315,45.23764844,17.84412886,36.91822269,10,33975,21.9,8.6,Suburban,889,3004,0.51354063,0.639085682,36.28578686,5,19,7,17.4,1.4598
22041950300,LA,451518.1067,62865.36212,10586.12588,7469.308285,534.5371785,1759.156328,45.84768465,49.75124378,4.401071565,43.915828,19.12168344,36.96248856,14.9,25466,43.5,9.8,Rural,2022,3368,9.385185334,0.592881576,34.04503672,7,15,26,16.5,0.8227
22041950200,LA,329280.8677,45954.67917,7716.391759,5442.781,388.7862132,1285.566753,45.97413535,49.62406888,4.401795763,43.92268386,19.15604713,36.92126901,16.4,34750,17.6,10.2,Rural,793,3955,10.77836425,0.586976731,34.04503672,7,15,26,16.5,0.8167
22041950500,LA,131905.5701,19062.29436,3248.329177,2199.938767,144.9852585,525.1449865,46.55543251,49.23929137,4.205276116,45.26383876,18.61820107,36.11796017,3.5,46522,12.4,15.6,Rural,318,1221,22.59717506,0.894079672,34.04503672,7,15,26,16.5,0.6732
22041950400,LA,248378.7227,40893.30943,5592.768604,3814.695303,236.8718898,1118.808557,57.07820459,38.46983869,4.451956721,44.40293688,22.17262894,33.42443418,7.2,34844,16.8,11.4,Rural,559,2113,19.3604886,0.662363881,34.04503672,7,15,26,16.5,0.7356
22041950100,LA,315720.8704,48532.23668,7212.093434,5527.736214,313.1157314,1234.523805,53.50440422,42.2098149,4.285780879,42.88227476,19.51499119,37.60273404,11.9,44979,13.8,13,Rural,1072,3161,20.92170379,0.762465903,34.04503672,7,15,26,16.5,0.7829
22079010700,LA,201754.9842,44077.44071,4901.715328,4206.633782,119.8852748,901.8679651,49.09644231,39.89118736,11.01237033,48.49026705,19.17090259,32.33883036,6.5,60313,4.1,21.1,Urban,998,3617,11.90455291,0.395826044,83.85395813,7,17,74,14.1,1.3433
22079013800,LA,118479.1347,32081.90363,3313.336487,2524.034309,78.72305188,649.9360097,41.60704458,45.34947716,13.04347826,51.70827858,18.79106439,29.50065703,2.2,45064,18.4,16.6,Urban,961,2978,9.6278805,0.46728487,83.85395813,7,17,74,14.1,1.3214
22079010500,LA,224748.9348,51824.31899,5650.077981,4705.648543,137.0012113,1058.173022,45.97982929,42.23640967,11.78376104,49.52049265,19.02004746,31.4594599,19.6,30833,25.7,11.9,Urban,1459,4703,12.9253524,0.384138876,83.85395813,7,17,74,14.1,1.3501
22079012400,LA,349289.5763,70709.91304,7454.629752,7079.587767,187.9804759,1443.911451,38.00269043,50.49130738,11.50600219,47.99813721,17.10233941,34.89952338,1.6,47450,4.6,39.1,Urban,736,2968,1.389285692,0.282085263,83.85395813,7,17,74,14.1,1.3045
22079012301,LA,154416.5364,41813.07072,4318.346394,3289.631011,102.6015343,847.0763034,41.60704458,45.34947716,13.04347826,51.70827858,18.79106439,29.50065703,3.8,60517,6.6,39,Urban,1513,3955,1.722904802,0.317783053,83.85395813,7,17,74,14.1,1.3094
22079012200,LA,358682.0586,67813.8388,7321.235375,7474.43416,195.5126583,1407.488483,22.97696991,68.54503569,8.477994403,47.63094427,17.21848427,35.15057147,10,36567,19.2,26.6,Urban,1087,2831,8.129301718,0.397369715,83.85395813,7,17,74,14.1,1.3186
22079011000,LA,240043.8209,45925.04538,4949.701779,5005.259594,131.6354094,952.2918081,24.53095393,66.61023253,8.858813541,47.97104556,17.34965735,34.67929709,9.5,23031,37.6,3.3,Urban,928,2007,8.242093393,0.360903729,83.85395813,7,17,74,14.1,1.3215
22079013400,LA,87105.03931,29702.05939,2932.246536,1801.669876,59.91054907,612.7785603,71.48911911,18.23194068,10.27894021,50.82590201,21.53279264,27.64130535,2.3,69554,6,33.6,Urban,686,2399,7.726083165,0.748888798,83.85395813,7,17,74,14.1,1.297
22079012302,LA,122415.7407,33147.86191,3423.425916,2607.898262,81.33871614,671.5308837,41.60704458,45.34947716,13.04347826,51.70827858,18.79106439,29.50065703,1.8,61250,7.3,41.9,Urban,657,2781,0.547244585,0.24773562,83.85395813,7,17,74,14.1,1.3094
22071013500,LA,241610.7791,57545.90915,6507.551161,4607.800059,112.8939986,898.5229649,15.79484077,72.34131955,11.86383968,47.58561359,15.75817701,36.6562094,1.6,60897,0,50.8,Urban,14,1948,0.479235629,0.15,86.93297224,5,28,95,10,0.989
22009030200,LA,195740.6786,42554.82126,5067.01575,3993.899491,114.3268296,958.0827807,85.97183735,4.067226564,9.960936086,41.3720784,21.20151205,37.42640955,3.3,47901,11.1,13.1,Urban,732,1907,19.51245959,0.748579533,33.62797848,7,17,19,9.6,1.3963
22085000700,LA,200315.3813,47503.02199,5200.409139,3377.031399,168.0045626,989.0718597,57.60488969,34.81621891,7.578891404,47.79447447,18.25176819,33.95375733,6.9,41522,6.2,17.6,Rural,385,2226,25,1,16.44398767,8,14,32,15.6,0.6494
22115950300,LA,218096.2341,68374.9206,4249.678086,3125.986929,136.7262052,1428.399342,76.18016888,14.71744261,9.102388502,45.89337219,19.60539797,34.50122984,7.5,51061,6,19,Rural,1002,3351,19.99196298,0.725696088,37.12710464,7,11,52,7.4,0.8329
22115950100,LA,254679.1193,65750.14622,4577.444555,3604.033614,153.7406245,1483.008359,68.94483487,20.39233866,10.66282647,45.99357394,18.90465634,35.10176972,6.2,51610,11.4,18.9,Rural,1406,4364,20.81612935,0.740049177,37.12710464,7,11,52,7.4,0.6022
22115950200,LA,249577.4147,84905.23001,4771.912411,3329.554237,145.2994793,1596.890531,90.41173723,2.923820306,6.664442466,46.63186592,21.11878846,32.24934562,5.5,45625,8.4,17.3,Rural,1117,3811,20.67033024,0.740363078,37.12710464,7,11,52,7.4,0.8096
22031950700,LA,194659.3965,28423.30864,4120.513569,3387.45216,131.1408195,564.2735263,33.77534723,59.02251947,7.202133302,46.94553149,14.56007696,38.49439155,14.6,37946,17.1,10.7,Urban,812,2087,19.67415309,0.849563524,22.25271669,7,13,42,15.9,0.3956
22079010400,LA,134521.834,30283.06187,2640.876807,2324.297802,59.7143273,588.4833572,71.35807658,18.78727365,9.854649765,45.52787607,18.96180427,35.51031966,2.2,64779,4.3,28.3,Urban,622,2113,9.509403494,0.422370609,83.85395813,7,17,74,14.1,1.3649
22043020402,LA,211995.7979,59856.71747,5128.082156,4007.413298,118.672281,1175.038273,82.69044773,8.276398337,9.033153929,45.80014059,19.76015991,34.43969951,7.1,45363,7,6.8,Urban,1476,5616,13.63062777,0.523588248,9.062896502,8,9,70,8.6,1.3916
22043020100,LA,206392.3636,41890.04051,4222.470698,3399.675536,113.0518692,842.3105961,86.42477799,6.08035971,7.494862299,44.87140618,16.99653969,38.13205413,7.6,45154,13.8,7.1,Urban,687,1778,11.12516275,0.508443681,9.062896502,8,9,70,8.6,1.2091
22043020401,LA,257582.1093,81283.45946,6905.599054,5097.663293,163.8370139,1603.983034,84.84567975,6.78057349,8.373746761,46.26420914,19.31162685,34.42416401,6,43373,10.4,15.9,Urban,1675,4458,11.25167523,0.514622939,9.062896502,8,9,70,8.6,1.4392
22043020200,LA,219536.9575,46444.19027,5499.702323,3609.267065,132.8756683,977.3282021,63.81746581,30.04218362,6.140350571,46.63398407,18.42704789,34.93896804,11.9,28274,15.5,10,Urban,700,2483,25,1,9.062896502,8,9,70,8.6,0.7604
22043020300,LA,193037.7783,47091.34932,5755.390235,3978.089932,121.7727265,989.8667515,46.01248328,46.51428915,7.473227568,46.65819281,19.10980912,34.23199807,12.1,30250,25.1,13.2,Urban,603,2416,24.48059313,0.963138307,9.062896502,8,9,70,8.6,1.4881
22127960100,LA,296495.3332,57434.63518,5400.100997,4737.809254,199.1829363,1202.511663,67.42892032,24.41904929,8.152030391,42.25589633,17.88956251,39.85454116,4.9,32321,20.5,11.5,Rural,886,2796,20.06618921,0.840489991,26.66666667,7,14,80,12.7,0.6611
22085000600,LA,170006.792,37599.45026,3880.862693,2704.24112,125.1662377,833.3312027,62.03876189,31.23922601,6.7220121,48.08803891,17.82178936,34.09017173,11.8,40673,8,18.8,Rural,971,2756,19.99867955,0.864083295,16.44398767,8,14,32,15.6,0.6671
22021000300,LA,250128.0141,33510.4694,4846.004705,5020.050562,165.9957491,682.0887799,80.35018687,14.68552636,4.964286775,44.80367811,18.56682217,36.62949972,7,36230,18.5,10,Urban,964,3324,17.4959244,0.919663808,39.9840064,8,10,11,18,0.5469
22059970100,LA,350371.8898,46159.88607,3770.295142,4659.185953,189.7931647,788.0094309,87.54927093,4.082244326,8.368484744,43.31579191,15.22144302,41.46276507,10.4,34446,10.6,10.3,Urban,1091,3472,16.11955141,0.950689126,60.29342802,9,8,34,16.1,0.6616
22021000200,LA,221769.6835,27867.32136,4463.462914,4832.129949,169.4904027,584.1281102,73.39306273,21.18783247,5.419104794,43.45472137,17.66711618,38.87816245,8.6,35341,9.5,11.7,Urban,636,2360,19.46943453,0.846607675,39.9840064,8,10,11,18,0.8493
22069000900,LA,256794.5066,73066.0369,6366.415451,4061.366793,147.9244899,1525.617077,31.90648937,55.39219246,12.70131817,45.32606184,17.51421,37.15972816,7.1,36863,14.6,18.3,Suburban,1047,3360,21.06634692,0.76141083,50.71508267,6,21,49,15,0.6224
22069000600,LA,297908.5379,104660.6716,7460.941629,4655.207242,205.8403946,1970.422115,25.94832325,66.63001649,7.421660253,48.87983707,15.64833673,35.47182621,11.1,25828,31.4,21.1,Suburban,1874,6358,0.514993,0.275900131,50.71508267,6,21,49,15,0.7012
22069000500,LA,354808.743,124650.7454,8885.973324,5544.346736,245.1556849,2346.770585,25.94832325,66.63001649,7.421660253,48.87983707,15.64833673,35.47182621,4.6,51204,9,46.3,Suburban,922,3238,0.696147,0.28008602,50.71508267,6,21,49,15,0.7053
22127960200,LA,407630.3295,74162.10684,7444.804364,6589.991266,269.5272739,1566.447937,57.4137996,36.45453973,6.131660671,43.24610996,18.1397031,38.61418695,7.7,41004,10.9,11.6,Rural,1114,5211,1.704029,0.324295305,26.66666667,7,14,80,12.7,0.8331
22069000400,LA,202202.8323,71037.52169,5064.049321,3159.681478,139.7123798,1337.406895,25.94832325,66.63001649,7.421660253,48.87983707,15.64833673,35.47182621,14.7,23418,33.9,15,Suburban,1440,2858,8.28820546,0.414520912,50.71508267,6,21,49,15,0.7146
22069000800,LA,240541.6253,66709.73652,5104.499559,3364.246584,137.8814936,1269.80813,50.77895184,41.06330876,8.157739403,48.56506412,15.77536609,35.65956979,4.3,45781,9.8,25.2,Suburban,995,3290,20.62707716,0.716616281,50.71508267,6,21,49,15,0.7679
22069000700,LA,283854.6881,92891.43871,7200.228271,4408.457921,186.0016582,1772.764622,22.27057152,70.23697454,7.492453932,46.68168193,16.53749238,36.78082568,15.7,20653,42.7,21.3,Suburban,707,2956,1.207611,0.28008602,50.71508267,6,21,49,15,0.7128
22069000100,LA,108075.6404,26952.93953,2408.811994,1482.829532,63.9420205,535.5881838,65.89869029,29.53502514,4.566284574,48.53916649,18.30835309,33.15248042,7.8,32594,14.2,9.4,Suburban,467,1909,25,1,50.71508267,6,21,49,15,0.8375
22085000300,LA,89450.47255,14698.92068,1992.6973,1547.523187,53.54434482,325.1455308,65.47848344,19.92017278,14.60134379,47.1893997,16.7800152,36.03058511,14.7,30101,23.4,4.9,Rural,678,1584,24.48808106,0.981902427,16.44398767,8,14,32,15.6,0.5295
22085000400,LA,242061.6968,57874.13255,6243.858957,4054.130105,191.7244476,1168.081384,61.67207168,29.28779264,9.040135676,46.64364065,18.46542275,34.8909366,13.1,41384,14.3,12.9,Rural,1370,3650,18.0129145,0.805305191,16.44398767,8,14,32,15.6,0.5945
22055001700,LA,109079.7261,26143.58301,2418.994131,2149.984096,53.10327959,581.5740751,67.30245232,19.34604905,13.35149864,51.77304965,15.95744681,32.26950355,3.8,56727,10.7,39.6,Urban,1503,4825,1.20288322,0.186301175,103.0587303,8,14,80,8,1.109
22055001905,LA,226392.5038,51670.40583,4493.631227,4184.370754,99.02516254,1073.458511,53.80132621,33.95818753,12.24048627,47.62182403,16.51022175,35.86795422,8.2,54882,9.1,18.6,Urban,1344,3692,4.376662436,0.15,103.0587303,8,14,80,8,1.1013
22055001500,LA,112739.5448,26126.42203,2437.504115,2207.253759,54.1923087,579.4734072,66.37663154,20.39188816,13.2314803,51.61653297,15.96102388,32.42244315,1.2,59698,3,63.2,Urban,1126,4179,0.526279015,0.15,103.0587303,8,14,80,8,1.1165
22055001600,LA,48636.94978,11657.0162,1078.591781,958.6443994,23.67792472,259.3148159,67.30245232,19.34604905,13.35149864,51.77304965,15.95744681,32.26950355,1.3,91635,2,61.6,Urban,697,2503,0.386749,0.15,103.0587303,8,14,80,8,1.1121
22055001401,LA,150437.928,36219.83752,3327.937032,2958.058457,73.93842354,804.3623136,67.34059931,19.3799682,13.27943249,51.74312861,15.98474067,32.27213072,2.6,87399,5.3,40.6,Urban,2450,6168,3.031638064,0.15,103.0587303,8,14,80,8,1.1048
22055002200,LA,263621.8463,48089.31223,4788.774747,4945.137641,116.6482669,1040.754192,48.94804399,40.07982245,10.97213356,48.67010455,16.02836226,35.30153319,10.2,33188,17.2,45.4,Urban,497,5334,1.507723028,0.15,103.0587303,8,14,80,8,1.1215
22055000500,LA,111520.1464,24281.8809,2232.125541,2069.090676,46.69688732,502.6201191,48.78562093,37.73285488,13.48152419,46.32604367,16.34968694,37.32426939,5,34552,10.2,48.2,Urban,247,2303,0.842701,0.391064395,103.0587303,8,14,80,8,1.1217
22051022102,LA,95673.5259,29453.45593,2716.776813,1671.331437,40.99521182,510.839098,45.5540801,25.20858289,29.23733701,56.65689367,15.17239854,28.17070779,5.1,37708,8.5,36.8,Urban,374,1973,0.751443454,0.15,85.77832299,8,17,95,7.1,0.9894
22051022600,LA,67728.44474,22232.13126,2013.322961,1267.40061,30.09811463,385.1903194,58.80456767,15.12137599,26.07405634,53.91716813,15.37171504,30.71111683,1.2,103958,2.2,72.9,Urban,739,2487,0.223826151,0.15,85.77832299,8,17,95,7.1,0.9876
22051022001,LA,171337.5515,58422.37088,5102.943197,3201.575414,76.95954668,986.6683909,50.30579997,25.82454717,23.86965286,57.59712056,13.99958259,28.40329686,4.2,38991,11.8,23.8,Urban,668,3928,1.192003964,0.15,85.77832299,8,17,95,7.1,0.9885
22051023001,LA,47627.15573,16259.80169,1419.315102,890.6843026,21.40512287,274.5197043,50.36867531,25.83269769,23.798627,57.60956175,13.98406375,28.4063745,5.1,66622,0,29.7,Urban,221,1661,0.953070653,0.15,85.77832299,8,17,95,7.1,0.9875
22051021803,LA,160507.739,54796.9738,4783.217777,3001.685096,72.13716253,925.1557511,50.36867531,25.83269769,23.798627,57.60956175,13.98406375,28.4063745,3.8,31798,21.6,15.3,Urban,865,4119,2.006681277,0.15,85.77832299,8,17,95,7.1,0.9887
22051022700,LA,84086.98042,28707.10217,2505.837676,1572.526269,37.79130036,484.6716677,50.36867531,25.83269769,23.798627,57.60956175,13.98406375,28.4063745,5.6,70104,3,45.3,Urban,571,2289,0.042195,0.15,85.77832299,8,17,95,7.1,0.9877
22051023003,LA,95316.5957,27313.90202,2430.192172,1587.127789,37.50422782,466.5082334,49.13063188,25.97773678,24.89163135,54.83198897,15.7179963,29.45001473,5.3,63272,0.8,29.9,Urban,499,2180,0.440351455,0.15,85.77832299,8,17,95,7.1,0.9875
22051024600,LA,70996.90897,19566.89824,2168.394013,1408.038825,39.88928286,350.2395473,46.3865528,35.64002676,17.97342044,43.75437087,18.65434425,37.59128487,23.5,32083,20.7,2.7,Urban,152,1267,1.00424,0.15,85.77832299,8,17,95,7.1,0.9862
22051024201,LA,46375.53785,15938.0702,1408.587451,878.672038,21.68005048,269.4673082,51.34003606,25.73721862,22.92274533,56.97104317,14.16257642,28.86638042,7.8,45853,18.8,24,Urban,748,2227,3.165987653,0.15,85.77832299,8,17,95,7.1,0.9868
22051024800,LA,92324.63275,30452.13202,2744.959848,1727.41048,41.08661829,525.8192217,57.96789584,16.19455451,25.83754965,54.29578575,15.22663303,30.47758122,4.1,85096,1.1,67.5,Urban,643,2616,0.755362664,0.15,85.77832299,8,17,95,7.1,0.9874
22051022002,LA,70505.09189,24070.27659,2101.090022,1318.528844,31.68717786,406.3865809,50.36867531,25.83269769,23.798627,57.60956175,13.98406375,28.4063745,3.4,59420,1.9,34.1,Urban,415,2044,1.307382951,0.15,85.77832299,8,17,95,7.1,0.9876
22051022900,LA,90545.92354,30912.17054,2698.317688,1693.316166,40.69414998,521.900579,50.36867531,25.83269769,23.798627,57.60956175,13.98406375,28.4063745,5.8,42917,13.2,20.5,Urban,483,2122,2.097481766,0.15,85.77832299,8,17,95,7.1,0.9868
22051023100,LA,71108.73185,24276.35789,2119.078821,1329.817627,31.95847241,409.8659208,50.36867531,25.83269769,23.798627,57.60956175,13.98406375,28.4063745,3.2,39787,4.9,19.8,Urban,469,1803,2.767404878,0.15,85.77832299,8,17,95,7.1,0.9868
22051021600,LA,258195.1534,75229.16214,6680.343116,4345.624615,102.8582946,1283.362247,49.27302885,25.9610547,24.76591645,55.15145915,15.51856328,29.32997757,9.7,37702,14.4,21.9,Urban,1458,5143,0.784825264,0.15,85.77832299,8,17,95,7.1,0.9886
22051022800,LA,126761.6575,41247.765,3766.490748,2546.409211,52.34525604,722.2509838,45.74137336,35.18406718,19.07455947,51.76775377,14.19435356,34.03789268,3.2,45450,8.4,24.4,Urban,461,2489,0.163659435,0.15,85.77832299,8,17,95,7.1,0.9873
22051023002,LA,113001.3115,38578.38845,3367.500442,2113.258555,50.78629868,651.3319162,50.36867531,25.83269769,23.798627,57.60956175,13.98406375,28.4063745,5,56012,4.7,35.7,Urban,641,3608,0.948291517,0.15,85.77832299,8,17,95,7.1,0.9874
22051021900,LA,51949.38911,14375.19622,1407.45516,848.094172,21.25000004,256.9058301,41.4403778,24.67532468,33.88429752,55.84291188,16.18773946,27.96934866,4.3,43606,5.2,26.6,Urban,404,1489,1.47731162,0.15,85.77832299,8,17,95,7.1,0.9891
22051020203,LA,166738.0926,46138.99873,4517.404205,2722.064822,68.20454554,824.5715461,41.4403778,24.67532468,33.88429752,55.84291188,16.18773946,27.96934866,7.7,84949,5,41.6,Urban,1294,6048,1.405435109,0.15,85.77832299,8,17,95,7.1,0.9914
22051021804,LA,57429.34609,19197.04518,1701.350326,1075.542845,30.55725483,350.4192715,44.65912027,20.64368926,34.69719047,54.29416637,17.33081144,28.37502219,3.5,42054,24.8,11.3,Urban,563,1501,0.176609657,0.15,85.77832299,8,17,95,7.1,0.9887
22051020202,LA,98398.25473,27228.31285,2665.885657,1606.390139,40.2500001,486.6098667,41.4403778,24.67532468,33.88429752,55.84291188,16.18773946,27.96934866,9.7,37110,27.3,22.9,Urban,501,2553,0.517309,0.15,85.77832299,8,17,95,7.1,0.9912
22051020102,LA,67510.00597,19914.07642,1909.416528,1177.296663,28.57624832,354.8819811,53.95825057,15.83076281,30.21098661,53.5657494,16.17471594,30.25953465,1.5,59271,4.2,41.8,Urban,649,2350,0.172144,0.15,85.77832299,8,17,95,7.1,0.9931
22051022101,LA,35336.69644,9778.208244,957.3705595,576.8854421,14.45454535,174.7509159,41.4403778,24.67532468,33.88429752,55.84291188,16.18773946,27.96934866,4,68681,2.3,53.3,Urban,268,1118,0.047063,0.15,85.77832299,8,17,95,7.1,0.9913
22051020201,LA,105639.1336,36261.98698,3452.871782,1868.710146,31.61363625,611.1989388,36.07180657,34.30430155,29.62389188,54.56728712,15.04143632,30.39127655,4,62739,2.4,49.7,Urban,185,1408,0.384107,0.15,85.77832299,8,17,95,7.1,0.992
22051022500,LA,55504.70408,17542.74993,1646.136931,1039.265127,24.40655404,311.7227786,63.62507759,9.000620732,27.37430168,51.80722892,16.16465863,32.02811245,4.3,57350,4.6,43.1,Urban,542,2057,0.835901955,0.15,85.77832299,8,17,95,7.1,0.989
22051022301,LA,51749.86493,16355.99999,1534.777371,968.9598535,22.75547444,290.6350363,63.62507759,9.000620732,27.37430168,51.80722892,16.16465863,32.02811245,5.1,59800,4.2,37.7,Urban,479,2257,0.996303,0.15,85.77832299,8,17,95,7.1,0.9924
22051022303,LA,65059.09762,20562.50005,1929.497419,1218.160739,28.60781636,365.3816918,63.62507759,9.000620732,27.37430168,51.80722892,16.16465863,32.02811245,7.8,32826,12.7,29.6,Urban,495,2457,1.205632,0.15,85.77832299,8,17,95,7.1,0.9928
22051020101,LA,58962.13046,18635.49995,1748.675938,1104.00167,25.92685516,331.1402059,63.62507759,9.000620732,27.37430168,51.80722892,16.16465863,32.02811245,4.6,52386,1.5,31,Urban,293,2121,5.1106279,0.15,85.77832299,8,17,95,7.1,0.995
22051022302,LA,36433.09459,11515,1080.518552,682.1700122,16.02037713,204.613747,63.62507759,9.000620732,27.37430168,51.80722892,16.16465863,32.02811245,4.7,26594,0,36.7,Urban,306,1382,2.511269267,0.15,85.77832299,8,17,95,7.1,0.9901
22051022200,LA,43013.35749,13594.74997,1275.673431,805.3782677,18.91385337,241.5694946,63.62507759,9.000620732,27.37430168,51.80722892,16.16465863,32.02811245,4,63289,1.8,42.7,Urban,508,2106,0.501269,0.15,85.77832299,8,17,95,7.1,0.9916
22051022400,LA,70941.58883,23264.24998,2319.139217,1333.740951,30.78201032,417.1506992,58.90834066,9.031876807,32.05978254,53.34522988,17.05965355,29.59511657,4.8,66354,5.3,46.4,Urban,705,2967,0.906694036,0.15,85.77832299,8,17,95,7.1,0.9891
22051020301,LA,112627.274,31963.91473,2818.909569,1873.445729,46.74402337,558.679772,48.16410071,23.73617046,28.09972883,52.93620302,17.26517614,29.79862084,2.5,85446,3.7,47.4,Urban,757,2508,1.34916678,0.15,85.77832299,8,17,95,7.1,0.9929
